company_name,postcode,country,subscription_status,billing_issue,signup_date
"Barlow, Smart and May",B5G 1RR,England,active,none,2023-11-24
IQBAL AND SONS,CB60 8WD,United Kingdom,cancelled,none,2025-05-06
moran inc,DY6R 8AZ ,UK,trial,overdue,2023-12-05
"Ryan, Blake and Butler",G8 1YT,UK,active,none,2025-04-26
Williams-Singh,n87 6dy,Scotland,active,none,2024-08-10
"Lawrence, Day and Fry",L5D 2LP,England,active,none,2024-04-25
Tucker-Lane,np4 0qz,U.K.,paused,card_failed,2024-11-08
"Powell, Bradshaw and Kerr",UB58 4YA,U.K.,active,none,2024-10-06
"Miles, Rhodes and Martin",G79 4WA,,trial,none,2023-11-22
"Williams, Hudson and Wells",EC5M 5QF,U.K.,active,none,2024-07-12
Butler Group,E82 6PY,Scotland,trial,none,2024-11-15
POTTS LLC,SP8N 8UP,,active,none,2024-03-29
Scott and Sons,SS8 9SZ,UK,cancelled,none,2025-01-01
Fry-Hardy,EH9E 1PJ,,cancelled,none,2025-04-05
hughes and sons,ML1B 4QZ,U.K.,active,none,2023-10-26
MURRAY INC,PE9N 3LZ,Scotland,active,none,2024-04-05
Dawson Ltd,NW96 8LP,U.K.,paused,none,2024-02-10
Nicholls-Poole,BL5A 8FE,UK,active,card_failed,2025-06-14
"Mason, Matthews and Stone ",E4 1WS,U.K.,cancelled,none,2024-09-25
"Charlton, Green and Clark",HX8A 8TN,U.K.,active,none,2023-12-06
Smith-Harvey,AB95 4BA,Scotland,cancelled,,2025-02-09
Morgan LLC,SE6 2QX,,paused,none,2024-05-24
"EVANS, MACDONALD AND KHAN",l4a 7ug,U.K.,active,none,2024-02-13
Blackburn Inc,SS42 4LJ,United Kingdom,active,none,2023-10-24
WARREN-NAYLOR,SA33 8EP,U.K.,active,none,2025-07-18
Harris-Bailey,CR0 5FL,United Kingdom,cancelled,,2024-04-20
"Brown, Page and Woodward ",AL2H 7ZY,U.K.,cancelled,none,2025-09-09
Green Inc,G11 3QF,England,trial,none,2024-05-10
"Edwards, Hughes and Thompson",L9D 8HN,U.K.,active,none,2024-05-10
"Pope, Jones and Owen",G2 3BP,United Kingdom,active,none,2024-05-01
"KHAN, HARRISON AND MARTIN",S7K 6PT,U.K.,paused,none,2023-12-18
Stone Inc,rm9n 9aa,UK,cancelled,none,2024-03-30
Bull Ltd,SL4 2AT,United Kingdom,active,none,2024-10-14
Wood and Sons,B5S 8WQ,Scotland,cancelled,none,2025-07-30
"Yates, Walker and Walker",DG9 1TG,,active,none,2024-12-09
COX LLC,TS1E 5GW,UK,trial,none,2024-08-11
Frost Inc,TA3 3YB,England,trial,none,2024-08-14
Wheeler and Sons,HA2B 6UY,United Kingdom,cancelled,none,2024-08-09
KNIGHT-ROBERTS,cw5 0zw,United Kingdom,paused,card_failed,2024-11-29
Evans LLC,W74 2TJ ,Scotland,trial,overdue,2025-02-11
Davies LLC ,M4 3NS,,cancelled,overdue,2023-12-26
Rogers LLC,WF5 7EU,Scotland,trial,card_failed,2024-10-15
"Fraser, Owen and Archer",SK58 4SX,,active,card_failed,2024-12-02
Gallagher-Baker,N08 1SY,,cancelled,none,2023-12-30
"Parker, Campbell and Blackburn",SA69 7WH,England,active,none,2025-07-14
French and Sons,b0h 1jd,Scotland,active,none,2024-10-29
Fry-Lawrence,BH57 6JF,England,cancelled,none,2024-07-18
Bennett-Ali,W1G 5YU ,,active,none,2024-08-01
Mellor-Norris,L64 3SU,England,active,none,2025-02-19
"Moss, Ahmed and Birch",SY7E 6AG,Scotland,active,card_failed,2025-06-12
Dunn Inc,N5 2YN,U.K.,cancelled,none,2025-03-03
"Lawrence, Powell and Shepherd",PH4 8NR,England,cancelled,none,2024-12-24
"Yates, Ward and Hodgson",DE64 7PT,United Kingdom,trial,none,2025-01-04
Young Inc,TS52 5YD,U.K.,trial,none,2024-03-06
"burton, martin and taylor",CT8B 1ZP,UK,active,none,2023-09-17
Harper and Sons,L6 2SH,,active,none,2023-10-17
Smith-Jones,HR0 5QA,UK,active,none,2024-02-23
Williams Inc,co9 5xt,,active,none,2025-08-30
"Arnold, Patel and Smith",S46 8BE,Scotland,active,none,2024-01-22
"campbell, alexander and marshall",CO9 2XR,UK,active,none,2023-09-23
"Hughes, Fowler and Fisher",E2B 2NL,Scotland,cancelled,,2024-06-27
Taylor-Andrews,L25 1US,,active,none,2024-09-21
"GILL, WEST AND HARPER",W9 3BQ,UK,active,none,2024-08-02
"edwards, taylor and savage",W8 7BT,Scotland,paused,card_failed,2023-11-15
"Benson, Simpson and Ryan",ST67 7ED,United Kingdom,active,none,2024-03-19
Smith and Sons,DA60 1RB,U.K.,active,none,2024-04-25
"Moore, Bibi and Noble",S1 8ZE,Scotland,cancelled,none,2024-02-25
Anderson and Sons,PL52 9ZN,England,paused,none,2023-09-18
"Higgins, Barnes and Khan",TN7R 5FL,UK,cancelled,none,2024-01-24
"Hughes, Lynch and Harris ",M1 1GX,Scotland,active,none,2025-08-13
Hawkins and Sons,N0K 8SR,U.K.,active,overdue,2023-12-31
Chambers-Bray,DL7Y 3DG,England,cancelled,none,2023-09-22
Kelly PLC,wr2 2ba,United Kingdom,active,none,2025-01-08
Peters Ltd ,OL7A 4WE,,active,,2024-02-03
JENKINS AND SONS,W72 8HS,,active,none,2024-01-13
Jones and Sons,E47 0NL,United Kingdom,active,none,2023-10-29
Davis-Allan,M9 1HR,Scotland,active,none,2024-11-04
"Potter, Walker and Williams",CW7 5PN,UK,active,none,2025-05-04
Smith LLC,G13 9LE,U.K.,active,none,2024-06-19
"Reid, Black and Johnson",WA3R 2PF,U.K.,trial,none,2023-09-20
Clark-Perkins,BS0H 4ER,UK,active,none,2025-01-06
day inc,L59 9NB,U.K.,active,none,2025-05-25
"Thomas, Knight and Simmons",HP3W 9LS,UK,cancelled,card_failed,2025-01-23
"Jackson, Nolan and Humphries",b5 1ha,UK,cancelled,none,2024-09-23
"Smith, Hughes and Mitchell ",S5H 9TY,Scotland,active,none,2023-11-22
Hewitt and Sons,M82 8QD,UK,active,none,2023-10-23
Gibbs Inc,SS0 9HL,England,trial,none,2025-02-28
"chambers, myers and robertson",B7 6EP,Scotland,active,none,2024-11-07
Campbell Ltd,KY9V 9DQ,England,active,none,2024-03-05
"Scott, Knight and Webster",E0H 3GY,United Kingdom,active,none,2024-05-30
Bell-Carter,AB0 2NX,England,active,card_failed,2025-04-06
"King, White and Jordan",NN97 8NJ ,United Kingdom,cancelled,overdue,2024-03-01
"HUMPHRIES, JENNINGS AND PRICE",W55 0XX,UK,trial,none,2024-09-20
"Roberts, Bailey and Robertson",CV41 3WP,United Kingdom,paused,overdue,2023-09-24
Johnson-Burns ,WF3 8LT ,Scotland,paused,none,2023-10-16
"Randall, Smith and Davis",BL4E 1LR,,trial,none,2025-07-23
